課程編號,課程名稱,上課日,開課日期,上/下午,上課時間,課程,每課,費用,會員費用,狀況
KV32326A,面相學研習進階,星期一,11月29日,晚上,8:45-10:15,全期12課,1小時30分,950元,855元,網上名額已滿
KV32341,無常派玄空風水實戰班,星期六,12月04日,晚上,6:35-8:05,全期8課,1小時30分,700元,630元,網上名額已滿
KI32401,Tarot Card 塔羅牌入門,星期三,10月20日,晚上,7:00-10:00,全期4課,3小時,610元,549元,網上名額已滿
HO32403,奧修禪咭實用入門,星期四,11月11日,晚上,7:30-9:30,全期4課,2小時,510元,459元,可接受報名
HO32414,月老神諭卡愛情占卜研習班,星期六,11月20日,晚上,6:30-9:30,全期5課,3小時,750元,675元,可接受報名
KY32425,讚賞與批評的說話藝術,星期日,11月21日,下午,3:30-9:30,全期1課,6小時,360元,324元,可接受報名
KW32432,司儀及節目主持技巧進階,星期五,10月22日,晚上,7:00-10:00,全期5課,3小時,710元,639元,可接受報名
HD32441,斜棟達人與創業心理,星期六,10月23日,晚上,7:00-10:00,全期6課,3小時,690元,621元,可接受報名
KY32455,男女大不同,星期日,11月07日,下午,3:30-9:30,全期1課,6小時,360元,324元,可接受報名
KV32353,精氣神百歲流年相法,星期日,10月24日,上午,9:45-11:15,全期12課,1小時30分,950元,855元,網上名額已滿
KL32401B,Tarot Card 塔羅牌入門,星期日,11月07日,下午,3:45-6:45,全期4課,3小時,610元,549元,網上名額已滿
HO32409B,雷諾曼卡牌Lenormand Cards占卜研習班 *,星期六,10月16日,晚上,6:30-9:30,全期5課,3小時,750元,675元,課程已取消
HC32422,口語表達技巧課程,星期五,11月12日,晚上,7:00-10:00,全期4課,3小時,570元,513元,可接受報名
HO32428,KOL網絡直播主持技巧訓練班,星期日,12月05日,上午,10:15-1:15,全期3課,3小時,480元,432元,可接受報名
KY32434,即興演講方程式,星期日,10月17日,下午,3:30-9:30,全期1課,6小時,360元,324元,可接受報名
KY32453,辦公室人際相處基本法,星期日,11月14日,下午,3:30-9:30,全期1課,6小時,360元,324元,可接受報名
HT32466,辦公室政治學,星期二,11月09日,晚上,7:00-10:00,全期4課,3小時,590元,531元,可接受報名
KL32482,行為心理學,星期三,12月08日,晚上,7:00-10:00,全期4課,3小時,500元,450元,可接受報名
KT32495,恐懼心理與心靈療癒課程,星期日,10月17日,上午,10:15-1:15,全期4課,3小時,500元,450元,可接受報名
KY32501,「ＥＱ增值與壓力控制」工作坊,星期日,10月31日,下午,3:30-9:30,全期1課,6小時,360元,324元,可接受報名
KY32507,如何培養「專注小孩」,星期六,12月11日,上午,9:30-12:30,全期1課,3小時,210元,189元,可接受報名
KP32519,六頂帽子思考法,星期五,12月10日,晚上,7:00-10:00,全期1課,3小時,190元,171元,可接受報名
KL32523,第六感研習初階,星期日,10月24日,晚上,6:10-9:10,全期3課,3小時,430元,387元,網上名額已滿
KL32530,心理戲劇治療入門,星期三,10月27日,晚上,7:00-10:00,全期6課,3小時,760元,684元,可接受報名
KY32467,掌握非語言溝通的震撼力,星期日,11月28日,下午,3:30-9:30,全期1課,6小時,360元,324元,可接受報名
WK32494,疫情下兒童管教工作坊,星期六,10月16日,晚上,7:00-10:00,全期2課,3小時,350元,315元,可接受報名
KY32497,消費心理學證書課程,星期二,五,12月07日,晚上,7:00-10:00,全期4課,3小時,750元,675元,可接受報名
KY32506,如何培養高EQ 的孩子,星期六,12月04日,上午,9:15-12:15,全期1課,3小時,210元,189元,可接受報名
KH32516,有效記憶學習法,星期日,10月24日,晚上,7:10-10:10,全期4課,3小時,610元,549元,可接受報名
LV32522,潛意識遊戲工作坊,星期六,11月27日,晚上,7:00-10:00,全期4課,3小時,630元,567元,可接受報名
KL32524,第六感研習進階,星期日,11月21日,晚上,6:10-9:10,全期3課,3小時,440元,396元,可接受報名
KL32531A,「禪繞畫」心靈治療之旅,星期日,10月31日,上午,10:00-1:00,全期1課,3小時,250元,225元,網上名額已滿
KL32532,日本手帳(Techo)製作工作坊,星期日,10月24日,下午,2:15-5:15,全期1課,3小時,290元,261元,可接受報名
KL32537,香道心靈體驗之旅,星期日,10月17日,下午,2:15-5:15,全期1課,3小時,240元,216元,網上名額已滿
HT32541,能量飾物(Orgonite)工作坊,星期日,10月31日,下午,1:00-4:00,全期4課,3小時,770元,693元,可接受報名
KN32544,讀心術工作坊,星期二,12月07日,晚上,7:00-10:00,全期2課,3小時,370元,333元,可接受報名
KR32549,流體畫(Acrylic Fluid Painting),星期一,10月18日,晚上,7:30-9:30,全期6課,2小時,850元,765元,網上名額已滿
KN32555,速效抒壓工作坊,星期六,12月04日,晚上,7:00-10:00,全期1課,3小時,200元,180元,可接受報名
KL32573,童話心理學,星期日,10月24日,上午,10:00-1:00,全期1課,3小時,230元,207元,可接受報名
KL32531B,「禪繞畫」心靈治療之旅,星期日,10月31日,下午,2:15-5:15,全期1課,3小時,250元,225元,網上名額已滿
KV32536,繪畫心理分析文憑課程,星期六,12月04日,下午,3:25-6:25,全期12課,3小時,2000元,1800元,網上名額已滿
HO32541,能量飾物(Orgonite)工作坊 *,星期日,10月31日,下午,4:45-7:45,全期4課,3小時,770元,693元,課程已取消
KL32542,手印(Mudra)能量提升與心靈治療工作坊,星期日,10月17日,上午,10:00-1:00,全期1課,3小時,210元,189元,可接受報名
KP32545B,職場讀心術,星期五,12月17日,晚上,7:00-10:00,全期1課,3小時,200元,180元,可接受報名
KR32553,酒墨舞動(Alcohol Ink Art)藝術治療,星期一,11月29日,晚上,7:30-9:00,全期3課,1小時30分,350元,315元,網上名額已滿
KL32562,符號學入門,星期日,11月07日,上午,10:00-12:00,全期4課,2小時,450元,405元,可接受報名
KY32587,九型性格的事業與愛情,星期日,12月12日,下午,3:30-9:30,全期1課,6小時,360元,324元,可接受報名
WK32609,自閉症處理及訓練證書課程,星期一,11月29日,晚上,7:00-10:00,全期4課,3小時,670元,603元,可接受報名
WK32615,親子相處技巧證書課程,星期六,10月23日,晚上,7:00-9:00,全期9課,2小時,810元,729元,可接受報名
KQ32628B,NLP 溝通學,星期日,12月12日,上午,9:30-4:30,全期1課,6小時,430元,387元,可接受報名
LV32656,東西方哲學故事,星期五,11月12日,晚上,7:00-10:00,全期4課,3小時,630元,567元,可接受報名
KP32701,普洱茶-初探及品嚐,星期三,12月01日,晚上,7:00-9:30,全期3課,2小時30分,410元,369元,可接受報名
KH32781,平安紙知識工作坊,星期六,12月04日,下午,1:30-4:30,全期1課,3小時,380元,342元,可接受報名
HT32796,香港考古文物基礎証書 *,星期六,10月16日,下午,2:30-5:30,全期2課,3小時,350元,315元,課程已取消
KK32608,言語治療助理證書課程,星期日,11月07日,下午,2:00-5:00,全期6課,3小時,980元,882元,可接受報名
WY32613,如何發掘及提升兒童的八大才華,星期五,12月10日,晚上,7:00-10:00,全期2課,3小時,350元,315元,可接受報名
KQ32627B,NLP 情緒疏導學,星期日,12月19日,上午,9:30-4:30,全期1課,6小時,430元,387元,可接受報名
HC32652,情緒急救與家庭關係調解劑,星期六,11月27日,下午,2:00-5:00,全期2課,3小時,280元,252元,可接受報名
KP32700,福建名茶研習品茗班,星期一,12月06日,晚上,7:00-9:30,全期3課,2小時30分,380元,342元,可接受報名
KP32704B,潮州工夫茶藝研討班,星期六,12月04日,晚上,7:00-10:00,全期1課,3小時,200元,180元,可接受報名
KH32782,殯葬統籌創業證書課程,星期六,10月23日,下午,1:30-4:00,全期6課,2小時30分,2800元,2520元,可接受報名
HT32796F,香港考古文物基礎証書 *,星期六,10月16日,下午,2:30-5:30,全期2課,3小時,350元,315元,課程已取消
KK32800,稀土知識工作坊,星期六,11月13日,下午,1:30-4:30,全期2課,3小時,250元,225元,可接受報名
WK32866,蘇軾詩詞文書畫,星期日,10月24日,下午,1:00-2:30,全期6課,1小時30分,380元,342元,可接受報名
KK33060B,跆拳道初班,星期六,10月30日,晚上,6:45-8:15,全期6課,1小時30分,480元,432元,可接受報名
KR33062B,親子詠春拳班,星期日,10月24日,下午,2:30-4:00,全期6課,1小時30分,470元,423元,不接受網上報名
KV33091,瑜伽班,星期二,11月30日,晚上,8:10-9:40,全期12課,1小時30分,790元,711元,網上名額已滿
KV33097,復元瑜伽,星期六,12月04日,晚上,8:20-9:50,全期12課,1小時30分,790元,711元,網上名額已滿
KL33100E,物理治療瑜伽入門,星期日,10月17日,上午,11:10-12:40,全期4課,1小時30分,300元,270元,網上名額已滿
KK32799,金礦與黃金知識工作坊,星期六,11月27日,下午,1:00-4:00,全期1課,3小時,130元,117元,可接受報名
WK32810,宋詩書畫鑒賞,星期日,10月24日,下午,3:00-4:30,全期6課,1小時30分,380元,342元,可接受報名
KK32886B,西洋書法體驗班,星期一,10月18日,晚上,7:00-10:00,全期1課,3小時,450元,405元,不接受網上報名
NP33060B,跆拳道初班,星期日,10月24日,下午,2:30-4:00,全期6課,1小時30分,480元,432元,網上名額已滿
KR33066B,詠春防衛術,星期二,10月26日,晚上,7:00-9:00,全期6課,2小時,710元,639元,可接受報名
KV33095,婦女塑身瑜伽班,星期五,12月03日,上午,11:40-1:10,全期12課,1小時30分,800元,720元,網上名額已滿
KL33100D,物理治療瑜伽入門,星期日,10月17日,上午,9:30-11:00,全期4課,1小時30分,300元,270元,網上名額已滿
KL33100F,物理治療瑜伽入門,星期日,10月17日,下午,12:50-2:20,全期4課,1小時30分,300元,270元,可接受報名
KR33111C,網球訓練初階 *,星期二,10月26日,晚上,7:00-8:00,全期6課,1小時,550元,495元,課程已取消
KR33111K,網球訓練初階,星期四,10月28日,晚上,7:00-8:00,全期6課,1小時,550元,495元,網上名額已滿
KR33111M,網球訓練初階,星期五,11月05日,晚上,8:00-9:00,全期6課,1小時,550元,495元,網上名額已滿
KR33112B,網球訓練進階,星期一,10月18日,晚上,8:00-9:00,全期6課,1小時,740元,666元,網上名額已滿
KR33112F,網球訓練進階,星期四,10月28日,晚上,8:00-9:00,全期6課,1小時,740元,666元,網上名額已滿
HR33117G,草地滾球訓練班入門,星期二,01月04日,晚上,7:00-8:30,全期10課,1小時30分,570元,513元,網上名額已滿
NR33121C,保齡球訓練初階,星期二,10月26日,晚上,7:00-8:00,全期5課,1小時,420元,378元,可接受報名
KR33111B,網球訓練初階,星期一,10月18日,晚上,7:00-8:00,全期6課,1小時,550元,495元,網上名額已滿
KR33111E,網球訓練初階 *,星期二,10月26日,晚上,8:00-9:00,全期6課,1小時,550元,495元,課程已取消
KR33111L,網球訓練初階,星期五,11月05日,晚上,7:00-8:00,全期6課,1小時,550元,495元,網上名額已滿
KR33111R,網球訓練初階 *,星期六,10月23日,晚上,6:00-7:00,全期6課,1小時,550元,495元,課程已取消
KR33112D,網球訓練進階 *,星期三,10月27日,晚上,9:00-10:00,全期6課,1小時,740元,666元,課程已取消
KR33112G,網球訓練進階 *,星期六,10月23日,晚上,7:00-8:00,全期6課,1小時,740元,666元,課程已取消
NR33121A,保齡球訓練初階,星期六,10月23日,下午,2:00-3:00,全期5課,1小時,420元,378元,網上名額已滿
KR33122,保齡球訓練進階,星期六,10月23日,上午,10:00-12:00,全期3課,2小時,440元,396元,可接受報名
HR33123BD,高爾夫球訓練初班,星期五,11月12日,晚上,7:00-9:00,全期3課,2小時,1040元,936元,可接受報名
KR33123LD,高爾夫球訓練初班,星期六,11月06日,晚上,7:30-9:30,全期3課,2小時,1040元,936元,可接受報名
KR33123TG,高爾夫球訓練初班,星期六,11月06日,晚上,7:00-9:00,全期3課,2小時,1040元,936元,網上名額已滿
NR33123MC,高爾夫球訓練初班,星期六,11月06日,下午,3:00-5:00,全期3課,2小時,1040元,936元,可接受報名
KR33125LA,高爾夫球訓練中班,星期四,10月21日,晚上,7:30-9:30,全期3課,2小時,1040元,936元,網上名額已滿
NR33125HA,高爾夫球訓練中班,星期二,11月02日,晚上,8:00-10:00,全期3課,2小時,1040元,936元,可接受報名
HR33126BA,高爾夫球短打球課程,星期一,11月29日,晚上,7:00-9:00,全期3課,2小時,990元,891元,可接受報名
HR33123BB,高爾夫球訓練初班,星期一,11月01日,晚上,7:00-9:00,全期3課,2小時,1040元,936元,可接受報名
KR33123LB,高爾夫球訓練初班,星期四,11月18日,晚上,7:30-9:30,全期3課,2小時,1040元,936元,可接受報名
KR33123TB,高爾夫球訓練初班,星期一,11月01日,晚上,7:00-9:00,全期3課,2小時,1040元,936元,可接受報名
KR33123TJ,高爾夫球訓練初班,星期日,11月07日,下午,3:00-5:00,全期3課,2小時,1040元,936元,可接受報名
NR33123ME,高爾夫球訓練初班,星期日,11月07日,上午,10:00-12:00,全期3課,2小時,1040元,936元,可接受報名
KR33125LC,高爾夫球訓練中班,星期六,12月04日,晚上,7:30-9:30,全期3課,2小時,1040元,936元,可接受報名
NR33125WB,高爾夫球訓練中班,星期六,10月16日,晚上,7:00-9:00,全期3課,2小時,1040元,936元,網上名額已滿
KR33126TB,高爾夫球短打球課程,星期日,12月05日,上午,10:00-12:00,全期3課,2小時,990元,891元,可接受報名
KK33129,海外高爾夫球實地訓練,星期一,四,五,六,日,12月23日,晚上,8:00-10:00,全期3課,6小時,3960元,3960元,可接受報名
HR33134BA,高爾夫球模擬系統揮桿分析課程,星期五,12月10日,晚上,7:00-9:00,全期2課,2小時,590元,531元,可接受報名
KR33134TA,高爾夫球模擬系統揮桿分析課程,星期四,10月21日,晚上,7:00-9:00,全期2課,2小時,590元,531元,網上名額已滿
HR33141,桌球訓練進階,星期四,10月28日,晚上,7:00-9:00,全期3課,2小時,800元,720元,可接受報名
KR33141C,桌球訓練進階,星期日,10月24日,下午,3:00-5:00,全期3課,2小時,800元,720元,可接受報名
HR33160,氣槍射擊訓練,星期日,11月07日,下午,1:45-3:45,全期1課,2小時,270元,243元,網上名額已滿
KK33183,遠足安全訓練課程,星期一,日,01月10日,晚上,7:30-9:30,全期4課,2小時,480元,432元,網上名額已滿
NR33126WA,高爾夫球短打球課程,星期六,11月06日,晚上,7:00-9:00,全期3課,2小時,990元,891元,可接受報名
NR33131WB,親子高爾夫球訓練初班,星期日,11月07日,下午,3:00-5:00,全期3課,2小時,1180元,1062元,不接受網上報名
KR33134LA,高爾夫球模擬系統揮桿分析課程,星期四,12月09日,晚上,7:30-9:30,全期2課,2小時,590元,531元,可接受報名
KR33134TB,高爾夫球模擬系統揮桿分析課程,星期五,11月12日,晚上,7:30-9:30,全期2課,2小時,590元,531元,可接受報名
KR33141A,桌球訓練進階,星期二,10月26日,晚上,7:00-9:00,全期3課,2小時,800元,720元,可接受報名
KK33155B,星空密語說隕石,星期六,11月06日,下午,1:00-4:00,全期1課,3小時,140元,126元,可接受報名
KR33173E,真雪溜冰基礎班,星期六,10月16日,下午,1:45-2:15,全期5課,0小時30分,680元,680元,可接受報名
KK33184,露營安全訓練課程 *,星期一,六,日,10月18日,晚上,7:30-9:30,全期7課,2小時,800元,720元,課程已取消
KK33185B,一級運動攀登訓練(課程甲),星期四,日,12月16日,晚上,7:00-10:00,全期2課,3小時,470元,423元,可接受報名
KK33199,中國香港攀總一及二級冰雪攀登訓練,星期二,六,日,12月14日,晚上,7:30-10:15,全期7課,2小時45分,980元,882元,可接受報名
KK33220,內地自駕遊全攻略,星期六,12月04日,下午,2:00-6:00,全期1課,4小時,200元,180元,可接受報名
LE33226,十八區課程之深水,星期五,10月29日,晚上,7:00-10:00,全期4課,3小時,540元,486元,可接受報名
LA33228,中式木建築(一),星期三,11月24日,晚上,7:00-10:00,全期4課,3小時,540元,486元,可接受報名
KK33232,香港地質旅遊專業培訓證書,星期六,12月04日,下午,1:30-4:30,全期7課,3小時,1450元,1305元,可接受報名
LY33239BQ,香港知識工作坊,星期四,10月21日,晚上,7:00-10:00,全期1課,6小時,280元,252元,可接受報名
KK33185A,一級運動攀登訓練(課程甲),星期四,日,11月18日,晚上,7:00-10:00,全期2課,3小時,470元,423元,網上名額已滿
KK33189,初級攀岩訓練課程,星期四,日,10月21日,晚上,7:00-10:00,全期2課,3小時,440元,396元,網上名額已滿
KK33203B,攀總繩索技術一及二級証書班,星期四,六,日,11月04日,晚上,7:15-10:15,全期5課,3小時,1130元,1017元,可接受報名
KK33221,韓國自由行與自駕遊全攻略,星期六,12月11日,下午,2:00-6:00,全期1課,4小時,200元,180元,可接受報名
LA33227,十八區之南區,星期三,11月03日,晚上,7:00-10:00,全期4課,3小時,540元,486元,可接受報名
LA33229,中式木建築(二),星期三,12月08日,晚上,7:00-10:00,全期4課,3小時,540元,486元,可接受報名
KF33238,職前導遊培訓課程,星期一,二,三,四,五,六,10月18日,上午,9:00-5:00,全期18課,7小時52分,7800元,7020元,可接受報名
LY33239CQ,香港知識工作坊,星期四,11月25日,晚上,7:00-10:00,全期1課,6小時,280元,252元,不接受網上報名
HS33268B,TRX (PRO) 健身消脂基礎訓練班,星期六,10月23日,晚上,8:05-9:05,全期5課,1小時,800元,720元,網上名額已滿
LC33268D,TRX (PRO) 健身消脂基礎訓練班,星期日,10月24日,下午,3:30-4:30,全期5課,1小時,800元,720元,可接受報名
HR33274B,普拉提器械運動矯治課程,星期三,10月27日,晚上,8:00-9:00,全期6課,1小時,1430元,1287元,可接受報名
HS33296B,BUNGEE FITNESS 空中彈跳健身班,星期六,10月23日,晚上,9:05-10:05,全期5課,1小時,770元,693元,可接受報名
LC33296D,BUNGEE FITNESS 空中彈跳健身班,星期日,10月24日,下午,2:30-3:30,全期5課,1小時,770元,693元,網上名額已滿
HR33301CC,游泳訓練初班(課程甲),星期二,四,11月18日,晚上,8:00-9:00,全期10課,1小時,630元,630元,可接受報名
HR33301DE,游泳訓練初班(課程甲),星期三,五,10月20日,晚上,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
KV33265,脊柱保健瑜伽,星期六,12月04日,晚上,6:45-8:15,全期12課,1小時30分,780元,702元,網上名額已滿
LC33268B,TRX (PRO) 健身消脂基礎訓練班,星期四,10月21日,下午,3:15-4:15,全期5課,1小時,800元,720元,可接受報名
HR33274A,普拉提器械運動矯治課程,星期三,10月27日,晚上,7:00-8:00,全期6課,1小時,1430元,1287元,網上名額已滿
HR33275B,運動矯治証書班,星期五,10月29日,晚上,7:00-9:00,全期5課,2小時,1430元,1287元,可接受報名
LC33296B,BUNGEE FITNESS 空中彈跳健身班,星期四,10月21日,下午,4:15-5:15,全期5課,1小時,770元,693元,可接受報名
HR33301BC,游泳訓練初班(課程甲),星期一,三,11月17日,上午,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
HR33301DC,游泳訓練初班(課程甲),星期二,四,11月18日,上午,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
HR33301DF,游泳訓練初班(課程甲),星期三,五,11月24日,晚上,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
HR33301EB,游泳訓練初班(課程甲),星期日,11月07日,上午,8:30-9:30,全期10課,1小時,630元,630元,可接受報名
HR33301ED,游泳訓練初班(課程甲),星期日,11月07日,晚上,8:00-9:00,全期10課,1小時,630元,630元,可接受報名
KR33301KE,游泳訓練初班(課程甲),星期二,四,11月18日,上午,8:00-9:00,全期10課,1小時,630元,630元,可接受報名
KR33301TC,游泳訓練初班(課程甲),星期二,四,11月18日,上午,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
KR33301TJ,游泳訓練初班(課程甲),星期一,三,11月17日,晚上,6:30-7:30,全期10課,1小時,630元,630元,可接受報名
NR33301IA,游泳訓練初班(課程甲),星期六,11月06日,晚上,7:30-8:30,全期10課,1小時,630元,630元,可接受報名
HR33302CC,女子游泳訓練初班,星期二,四,11月18日,晚上,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
HR33301EA,游泳訓練初班(課程甲),星期日,11月07日,上午,8:30-9:30,全期10課,1小時,630元,630元,可接受報名
HR33301EC,游泳訓練初班(課程甲),星期日,11月07日,晚上,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
KR33301HA,游泳訓練初班(課程甲) *,星期六,11月06日,下午,4:00-5:00,全期10課,1小時,630元,630元,課程已取消
KR33301KF,游泳訓練初班(課程甲),星期二,四,11月18日,晚上,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
KR33301TF,游泳訓練初班(課程甲),星期二,四,11月18日,晚上,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
KR33301ZB,游泳訓練初班(課程甲),星期六,10月30日,晚上,6:00-7:00,全期10課,1小時,630元,630元,可接受報名
NR33301WC,游泳訓練初班(課程甲),星期六,10月23日,晚上,7:30-8:30,全期10課,1小時,630元,630元,可接受報名
KR33302HA,女子游泳訓練初班,星期六,02月12日,下午,5:00-6:00,全期10課,1小時,630元,630元,網上名額已滿
KR33302KC,女子游泳訓練初班,星期二,四,11月18日,晚上,7:00-8:00,全期10課,1小時,630元,630元,可接受報名
HR33304BC,游泳訓練改良班(課程甲),星期一,三,11月17日,上午,8:00-9:00,全期10課,1小時,660元,660元,可接受報名
HR33304DC,游泳訓練改良班(課程甲),星期二,四,11月18日,上午,7:00-8:00,全期10課,1小時,660元,660元,可接受報名
HR33304DF,游泳訓練改良班(課程甲),星期三,五,11月24日,晚上,8:00-9:00,全期10課,1小時,660元,660元,可接受報名
HR33304EB,游泳訓練改良班(課程甲),星期日,11月07日,上午,9:30-10:30,全期10課,1小時,660元,660元,可接受報名
HR33304ED,游泳訓練改良班(課程甲),星期日,11月07日,晚上,8:00-9:00,全期10課,1小時,660元,660元,可接受報名
KR33304HA,游泳訓練改良班(課程甲) *,星期六,11月06日,晚上,6:00-7:00,全期10課,1小時,660元,660元,課程已取消
KR33302HB,女子游泳訓練初班,星期日,02月13日,下午,5:00-6:00,全期10課,1小時,630元,630元,網上名額已滿
KR33302ZB,女子游泳訓練初班,星期六,10月30日,晚上,8:00-9:00,全期10課,1小時,630元,630元,可接受報名
HR33304CC,游泳訓練改良班(課程甲),星期二,四,11月18日,晚上,8:00-9:00,全期10課,1小時,660元,660元,可接受報名
HR33304DE,游泳訓練改良班(課程甲),星期三,五,10月20日,晚上,8:00-9:00,全期10課,1小時,660元,660元,可接受報名
HR33304EA,游泳訓練改良班(課程甲),星期日,11月07日,上午,9:30-10:30,全期10課,1小時,660元,660元,可接受報名
HR33304EC,游泳訓練改良班(課程甲),星期日,11月07日,晚上,7:00-8:00,全期10課,1小時,660元,660元,可接受報名
HR33304FB,游泳訓練改良班(課程甲) *,星期六,10月16日,上午,10:00-11:00,全期10課,1小時,660元,660元,課程已取消
KR33304HB,游泳訓練改良班(課程甲) *,星期日,11月07日,晚上,6:00-7:00,全期10課,1小時,660元,660元,課程已取消
KR33304KF,游泳訓練改良班(課程甲),星期二,四,11月18日,晚上,8:00-9:00,全期10課,1小時,660元,660元,可接受報名
KR33304TF,游泳訓練改良班(課程甲),星期二,四,11月18日,晚上,8:00-9:00,全期10課,1小時,660元,660元,可接受報名
KR33304ZB,游泳訓練改良班(課程甲),星期六,10月30日,下午,5:00-6:00,全期10課,1小時,660元,660元,可接受報名
NR33304WC,游泳訓練改良班(課程甲),星期六,10月23日,晚上,8:30-9:30,全期10課,1小時,660元,660元,可接受報名
HR33306DC,游泳競賽訓練班,星期三,五,11月24日,晚上,7:00-9:00,全期10課,2小時,1020元,1020元,可接受報名
KR33306KC,游泳競賽訓練班,星期二,四,11月18日,晚上,8:00-10:00,全期10課,2小時,1020元,1020元,可接受報名
KR33308HA,親子游泳訓練班 *,星期六,11月06日,下午,5:00-6:00,全期8課,1小時,770元,770元,課程已取消
KR33304KE,游泳訓練改良班(課程甲),星期二,四,11月18日,上午,9:00-10:00,全期10課,1小時,660元,660元,可接受報名
KR33304TC,游泳訓練改良班(課程甲),星期二,四,11月18日,上午,8:00-9:00,全期10課,1小時,660元,660元,可接受報名
KR33304TJ,游泳訓練改良班(課程甲),星期一,三,11月17日,晚上,7:30-8:30,全期10課,1小時,660元,660元,可接受報名
NR33304IA,游泳訓練改良班(課程甲),星期六,11月06日,晚上,8:30-9:30,全期10課,1小時,660元,660元,可接受報名
HR33306DB,游泳競賽訓練班,星期三,五,10月20日,晚上,7:00-9:00,全期10課,2小時,1020元,1020元,可接受報名
HR33306FB,游泳競賽訓練班 *,星期六,10月16日,上午,9:00-11:00,全期10課,2小時,1020元,1020元,課程已取消
KR33306TC,游泳競賽訓練班,星期二,四,11月18日,晚上,8:00-10:00,全期10課,2小時,1020元,1020元,可接受報名
KR33309HA,水中太極,星期日,11月07日,晚上,6:00-7:00,全期8課,1小時,640元,640元,可接受報名
KR33311HA,SUP YOGA水上滑浪板瑜伽初班,星期日,11月07日,下午,5:00-6:00,全期8課,1小時,950元,950元,可接受報名
KR33313TD,跳水運動入門,星期二,12月07日,晚上,7:30-9:30,全期4課,2小時,630元,630元,可接受報名
KR33319HB,婦女水中纖體操,星期日,11月07日,晚上,6:00-7:00,全期8課,1小時,670元,670元,可接受報名
KK33320F,水療運動初階,星期六,11月06日,晚上,6:00-7:00,全期6課,1小時,620元,620元,可接受報名
KR33335TB,拯溺銅章訓練班,星期一,三,五,11月01日,晚上,8:00-10:00,全期15課,2小時,590元,590元,可接受報名
NR33355B,大型帆船海上旅程訓練初階,星期六,11月27日,上午,10:00-5:00,全期1課,7小時,800元,720元,網上名額已滿
HR33357,美國大型帆船入門證書課程,星期六,日,10月23日,上午,9:30-5:30,全期5課,3小時,4250元,3825元,網上名額已滿
KR33310HA,AQUA FITNESS YOGA水中瑜伽訓練課程,星期六,11月06日,晚上,6:00-7:00,全期8課,1小時,630元,630元,可接受報名
KR33313TC,跳水運動入門,星期二,11月02日,晚上,7:30-9:30,全期4課,2小時,630元,630元,可接受報名
KR33319HA,婦女水中纖體操,星期六,11月06日,下午,5:00-6:00,全期8課,1小時,670元,670元,可接受報名
KK33320C,水療運動初階,星期六,11月06日,下午,3:00-4:00,全期6課,1小時,620元,620元,可接受報名
KK33325D,初級國際潛水証書訓練課程 *,星期一,二,三,四,六,日,10月18日,晚上,7:00-10:00,全期8課,3小時,4350元,3915元,課程已取消
NR33353C,風帆(舵手)二級航海證書訓練班 *,星期六,日,11月07日,上午,9:00-5:00,全期5課,8小時,2850元,2850元,課程已取消
NR33356,大型帆船海上旅程進階,星期六,12月18日,上午,10:00-5:00,全期1課,7小時,800元,720元,網上名額已滿
NR33371C,風箏花式滑浪體驗課程,星期日,11月07日,中午,12:00-5:30,全期1課,4小時,550元,550元,可接受報名
HR33372C,花式滑水訓練課程 (Wakeboard),星期日,10月31日,上午,9:00-12:30,全期1課,3小時30分,750元,750元,網上名額已滿
KK33375B,滑浪板初級證書課程,星期六,日,10月16日,上午,9:00-12:00,全期2課,3小時,480元,432元,網上名額已滿
KK33376B,滑浪板中級証書課程,星期六,日,11月06日,上午,9:00-12:00,全期2課,3小時,590元,531元,可接受報名
KK33383B,單車遊安全訓練課程,星期四,六,日,11月04日,晚上,7:30-9:30,全期5課,2小時,820元,738元,可接受報名
NR33397B,馬術進階課程,星期三,11月10日,晚上,8:30-9:15,全期4課,0小時45分,1990元,1990元,可接受報名
NR33397D,馬術進階課程,星期日,11月07日,下午,2:00-2:45,全期4課,0小時45分,1990元,1990元,網上名額已滿
KP33405B,"八段錦"研習坊,星期一,12月06日,晚上,7:15-9:45,全期1課,2小時30分,200元,180元,可接受報名
HR33372B,花式滑水訓練課程 (Wakeboard),星期日,10月17日,上午,9:00-12:30,全期1課,3小時30分,750元,750元,網上名額已滿
HR33372D,花式滑水訓練課程 (Wakeboard),星期日,11月14日,上午,9:00-12:30,全期1課,3小時30分,750元,750元,網上名額已滿
KK33375C,滑浪板初級證書課程,星期六,日,11月20日,上午,9:00-12:00,全期2課,3小時,480元,432元,可接受報名
KK33376C,滑浪板中級証書課程,星期六,日,12月04日,上午,9:00-12:00,全期2課,3小時,590元,531元,可接受報名
NR33397A,馬術進階課程,星期二,11月09日,晚上,8:30-9:15,全期4課,0小時45分,1990元,1990元,可接受報名
